Date,id,Type,Source,Amount,Fee,Net,Currency,Created (UTC),Available On (UTC),reason (metadata),amount (metadata),fromOurPlatform (metadata),note (metadata),invoiceId (metadata),storeId (metadata),domain (metadata),discount (metadata),freeShip (metadata),link (metadata),item (metadata),shippingFee (metadata),subTotal (metadata),tax (metadata),storeName (metadata),JournalType,StoreName,PartnerCode,ComCode,BankAccoutNumber
2025-11-19,txn_3SVFROK3ZXYJSkRp10Rs4dDw,charge,ch_3SVFROK3ZXYJSkRp1tIssXnQ,46.94,2.04,44.9,usd,2025-11-19 17:45:00,2025-11-26 00:00:00,,46.94,,,G2A22-191125-8DZ8W,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - GREY (Enhanced EditionVacuum + Blow Available/1PCS 50% OFF"",""quantity"":1,""unitAmount"":41.95}]",4.99,41.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-19,txn_3SVGR3K3ZXYJSkRp1aNCuTZy,charge,ch_3SVGR3K3ZXYJSkRp10UyTv1p,43.97,1.93,42.04,usd,2025-11-19 18:48:00,2025-11-26 00:00:00,,43.97,,,MTLYD-191125-6H7Y1,,,,,-https://avylays.com/sandals,"[{""name"":""Summer Sizzler Sale 50%Breathable mesh sports sandals with non-slip sole - Royal Blue/8.5"",""quantity"":1,""unitAmount"":38.98}]",4.99,38.98,0,FFT OSB,STRIPE_RECEIPT_CUSTOMER,OSB,,ZENIROXPAY,
2025-11-19,txn_3SVJ2SK3ZXYJSkRp1CTJAuEh,charge,ch_3SVJ2SK3ZXYJSkRp1q9kkR3s,41.94,1.85,40.09,usd,2025-11-19 21:35:00,2025-11-26 00:00:00,,41.94,,,G2A22-191125-W6AJK,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - BLACK Wireless/1PCS 50% OFF"",""quantity"":1,""unitAmount"":36.95}]",4.99,36.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-19,txn_3SVJD4K3ZXYJSkRp097BLJCc,charge,ch_3SVJD4K3ZXYJSkRp03Nn69oJ,41.94,1.85,40.09,usd,2025-11-19 21:46:00,2025-11-26 00:00:00,,41.94,,,G2A22-191125-CW6QP,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - WHITE Wireless/1PCS 50% OFF"",""quantity"":1,""unitAmount"":36.95}]",4.99,36.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-20,txn_3SVMICK3ZXYJSkRp1pJeERlW,charge,ch_3SVMICK3ZXYJSkRp1nj48opw,43.97,1.93,42.04,usd,2025-11-20 01:04:00,2025-11-26 00:00:00,,43.97,,,MTLYD-191125-TUZJU,,,,,-https://avylays.com/sandals,"[{""name"":""Summer Sizzler Sale 50%Breathable mesh sports sandals with non-slip sole - Brown/9"",""quantity"":1,""unitAmount"":38.98}]",4.99,38.98,0,FFT OSB,STRIPE_RECEIPT_CUSTOMER,OSB,,ZENIROXPAY,
2025-11-20,txn_3SVWeyK3ZXYJSkRp15z9fVMV,charge,ch_3SVWeyK3ZXYJSkRp1bClrCVi,41.94,1.85,40.09,usd,2025-11-20 12:08:00,2025-11-26 00:00:00,,41.94,,,G2A22-201125-FQPVT,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - WHITE Wireless/1PCS 50% OFF"",""quantity"":1,""unitAmount"":36.95}]",4.99,36.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-20,txn_3SVWfkK3ZXYJSkRp1K4qKq8J,charge,ch_3SVWfkK3ZXYJSkRp1xAnu43G,46.94,2.04,44.9,usd,2025-11-20 12:09:00,2025-11-26 00:00:00,,46.94,,,G2A22-201125-9H7F5,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - GREEN(Enhanced EditionVacuum + Blow Available/1PCS 50% OFF"",""quantity"":1,""unitAmount"":41.95}]",4.99,41.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-20,txn_3SVXIDK3ZXYJSkRp1UhBvvkg,charge,ch_3SVXIDK3ZXYJSkRp1I9v5KKT,41.94,1.85,40.09,usd,2025-11-20 12:48:00,2025-11-26 00:00:00,,41.94,,,G2A22-201125-RMYXP,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - WHITE Wireless/1PCS 50% OFF"",""quantity"":1,""unitAmount"":36.95}]",4.99,36.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-20,txn_3SVYL6K3ZXYJSkRp0BFjLNpm,charge,ch_3SVYL6K3ZXYJSkRp0udo8UNX,46.94,2.04,44.9,usd,2025-11-20 13:56:00,2025-11-26 00:00:00,,46.94,,,G2A22-201125-UDXB7,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - GREY (Enhanced EditionVacuum + Blow Available/1PCS 50% OFF"",""quantity"":1,""unitAmount"":41.95}]",4.99,41.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-20,txn_3SVYeTK3ZXYJSkRp0npYfzoZ,charge,ch_3SVYeTK3ZXYJSkRp0DUyTOGf,78.89,3.22,75.67,usd,2025-11-20 14:16:00,2025-11-26 00:00:00,,78.89,,,G2A22-201125-WBMO8,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - BLACK Wireless/1PCS 50% OFF"",""quantity"":2,""unitAmount"":36.95}]",4.99,73.9,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-20,txn_3SVYfBK3ZXYJSkRp01rD6461,charge,ch_3SVYfBK3ZXYJSkRp0ca7OzbX,41.94,1.85,40.09,usd,2025-11-20 14:16:00,2025-11-26 00:00:00,,41.94,,,G2A22-201125-J4C7A,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - BLACK Wireless/1PCS 50% OFF"",""quantity"":1,""unitAmount"":36.95}]",4.99,36.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-20,txn_3SVYnnK3ZXYJSkRp0wBb5sy3,charge,ch_3SVYnnK3ZXYJSkRp0XfMecGw,46.94,2.04,44.9,usd,2025-11-20 14:25:00,2025-11-26 00:00:00,,46.94,,,G2A22-201125-G0IIN,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - GREEN(Enhanced EditionVacuum + Blow Available/1PCS 50% OFF"",""quantity"":1,""unitAmount"":41.95}]",4.99,41.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-20,txn_3SVZ9WK3ZXYJSkRp01bzdh7L,charge,ch_3SVZ9WK3ZXYJSkRp0Pugpu53,43.97,1.93,42.04,usd,2025-11-20 14:48:00,2025-11-26 00:00:00,,43.97,,,MTLYD-201125-TZF7Z,,,,,-https://avylays.com/sandals,"[{""name"":""Summer Sizzler Sale 50%Breathable mesh sports sandals with non-slip sole - Brown/9"",""quantity"":1,""unitAmount"":38.98}]",4.99,38.98,0,FFT OSB,STRIPE_RECEIPT_CUSTOMER,OSB,,ZENIROXPAY,
2025-11-20,txn_3SVZFNK3ZXYJSkRp05dFQ0M8,charge,ch_3SVZFNK3ZXYJSkRp0c9MqUg7,73.97,3.04,70.93,usd,2025-11-20 14:54:00,2025-11-26 00:00:00,,73.97,,,MTLYD-201125-BDMSQ,,,,,-https://avylays.com/sandals,"[{""name"":""Summer Sizzler Sale 50%Breathable mesh sports sandals with non-slip sole - Set 2 (Black + Grey) 60% OFF/7"",""quantity"":1,""unitAmount"":68.98}]",4.99,68.98,0,FFT OSB,STRIPE_RECEIPT_CUSTOMER,OSB,,ZENIROXPAY,
2025-11-20,txn_3SVaJKK3ZXYJSkRp0dl5ZUUg,charge,ch_3SVaJKK3ZXYJSkRp0QqRiTR9,43.97,1.93,42.04,usd,2025-11-20 16:02:00,2025-11-26 00:00:00,,43.97,,,MTLYD-201125-J79JZ,,,,,-https://avylays.com/sandals,"[{""name"":""Summer Sizzler Sale 50%Breathable mesh sports sandals with non-slip sole - Black/9"",""quantity"":1,""unitAmount"":38.98}]",4.99,38.98,0,FFT OSB,STRIPE_RECEIPT_CUSTOMER,OSB,,ZENIROXPAY,
2025-11-20,txn_3SVahHK3ZXYJSkRp1WTBGqVK,charge,ch_3SVahHK3ZXYJSkRp1wXGQYyY,46.94,2.04,44.9,usd,2025-11-20 16:27:00,2025-11-26 00:00:00,,46.94,,,G2A22-201125-JH37T,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - GREY (Enhanced EditionVacuum + Blow Available/1PCS 50% OFF"",""quantity"":1,""unitAmount"":41.95}]",4.99,41.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-20,txn_3SVakzK3ZXYJSkRp18oUzpuh,charge,ch_3SVakzK3ZXYJSkRp1jA3doPP,46.94,2.04,44.9,usd,2025-11-20 16:30:00,2025-11-26 00:00:00,,46.94,,,G2A22-201125-P8CJA,,,,,-https://shopfuny.com/vacuum,"[{""name"":""Last Day Promotion 50% OFF - Wireless Handheld Car Vacuum Cleaner - GREY (Enhanced EditionVacuum + Blow Available/1PCS 50% OFF"",""quantity"":1,""unitAmount"":41.95}]",4.99,41.95,0,FFT DWF,STRIPE_RECEIPT_CUSTOMER,DWF,,ZENIROXPAY,
2025-11-25,txn_3SXOtgK3ZXYJSkRp1MNnZe2E,charge,ch_3SXOtgK3ZXYJSkRp1sR1MpGA,64.98,2.7,62.28,usd,2025-11-25 16:15:00,2025-11-28 00:00:00,,64.98,,,1ERLR-251125-ZA2R2,,,,,-https://opsewall.com/cropped-jeans,"[{""name"":""Tummy Control Cropped Wide-Leg Jeans  2025 Best Selling Jeans - BLACK/2XL"",""quantity"":1,""unitAmount"":59.99}]",4.99,59.99,0,FFT TUD,STRIPE_RECEIPT_CUSTOMER,TUD,,ZENIROXPAY,
2025-11-27,txn_1SY9fzK3ZXYJSkRpn1YfDSal,adjustment,du_1SY9fnK3ZXYJSkRpIvizf22u,-64.98,15,-79.98,usd,2025-11-27 18:12:00,2025-11-27 18:12:00,,,,,,,,,,,,,,,,STRIPE_ADJUSTMENT,,,ZENIROXPAY,
2025-12-03,txn_1Sa9MkK3ZXYJSkRpBMWZ0RnM,stripe_fee,,-10.69,0,-10.69,usd,2025-12-03 06:16:00,2025-12-03 06:16:00,,,,,,,,,,,,,,,,STRIPE_FEE,,,ZENIROXPAY,
2025-12-04,txn_1SaXd8K3ZXYJSkRpWycKnFa4,payout,po_1SaXd8K3ZXYJSkRphMWIxIuE,-1000,0,-1000,usd,2025-12-04 08:11:00,2025-12-04 08:11:00,,,,,,,,,,,,,,,,STRIPE_PAYOUT,,Pingpong ZeniroxPay,ZENIROXPAY,
